"Time","condition","n","mean","median","sd","sem","mean_CI_lo","mean_CI_hi"
395.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.587101449275362,0.57,0.0888174176293102,0.0106923605901795,0.565765175914014,0.60843772263671
400.36,"2018-10-30_PC3_WT-TG",38,0.56921052631579,0.54,0.103568271749745,0.0168009922273006,0.535168482493422,0.603252570138157
400.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.601304347826087,0.59,0.0879156186933254,0.0105837967559592,0.580184710223003,0.622423985429171
405.36,"2018-10-30_PC3_WT-TG",38,0.655263157894737,0.59,0.16338872305698,0.0265051508510439,0.601558621008902,0.708967694780572
405.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.579565217391304,0.56,0.0837439160671441,0.0100815827764862,0.559447732181188,0.599682702601421
410.36,"2018-10-30_PC3_WT-TG",38,0.604736842105263,0.565,0.132414926122505,0.0214805374945177,0.561213138932057,0.648260545278469
410.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.591594202898551,0.58,0.0843944378639374,0.010159896397944,0.571320445289907,0.611867960507194
415.36,"2018-10-30_PC3_WT-TG",38,0.551052631578947,0.53,0.0921159514221133,0.0149431805485075,0.520774871777878,0.581330391380016
415.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.601304347826087,0.59,0.0852317436632458,0.0102606961708874,0.58082944740224,0.621779248249934
420.36,"2018-10-30_PC3_WT-TG",38,0.630263157894737,0.575,0.164850248868239,0.0267422416451656,0.576078229428799,0.684448086360675
420.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.591594202898551,0.58,0.079974686958654,0.0096278209147849,0.572382185385727,0.610806220411374
425.36,"2018-10-30_PC3_WT-TG",38,0.528684210526316,0.51,0.0853346687454778,0.0138431112356143,0.500635402875841,0.556733018176791
425.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.577101449275362,0.56,0.0804966467930655,0.00969065749472703,0.557764043319507,0.596438855231218
430.36,"2018-10-30_PC3_WT-TG",38,0.769736842105263,0.65,0.275754364275137,0.0447332648557228,0.679098638007913,0.860375046202614
430.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.560579710144928,0.55,0.077533371524233,0.00933392107356068,0.541954160634219,0.579205259655636
435.36,"2018-10-30_PC3_WT-TG",38,0.842368421052632,0.685,0.361912593677402,0.0587099752714684,0.723410711652957,0.961326130452306
435.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.555072463768116,0.54,0.0762276618852214,0.00917673210478595,0.536760579960961,0.573384347575271
440.36,"2018-10-30_PC3_WT-TG",38,0.569473684210526,0.535,0.112537017775679,0.0182559149533886,0.53248368692627,0.606463681494783
440.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.579275362318841,0.57,0.0751531542248249,0.00904737658344193,0.561221603435636,0.597329121202045
445.36,"2018-10-30_PC3_WT-TG",38,0.555263157894737,0.52,0.0975299494432701,0.0158214470014987,0.523205861226086,0.587320454563388
445.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.572608695652174,0.56,0.0752183522254307,0.00905522550036434,0.554539274499106,0.590678116805242
450.36,"2018-10-30_PC3_WT-TG",38,0.477894736842105,0.47,0.0500355492401824,0.00811683790480063,0.461448461055769,0.494341012628441
450.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.591594202898551,0.58,0.0756661239845189,0.00910913088556988,0.573417215224068,0.609771190573033
455.46,"2018-10-30_PC3_WT-TG",38,0.582105263157895,0.55,0.0930608024064024,0.0150964556179357,0.55151693856638,0.61269358774941
455.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.570724637681159,0.56,0.0722194132402351,0.0086941956722794,0.553375640333354,0.588073635028965
460.46,"2018-10-30_PC3_WT-TG",38,0.519210526315789,0.51,0.0497225588558651,0.00806606415985641,0.502867127908779,0.5355539247228
460.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.57768115942029,0.57,0.071745976061302,0.00863720053361101,0.56044589410094,0.59491642473964
465.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.597391304347826,0.59,0.0739366217846117,0.00890092328782035,0.57962978846594,0.615152820229712
470.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.562173913043478,0.55,0.0677770906379528,0.00815940287612145,0.545892078105159,0.578455747981798
